relative_humidity_set_1,wind_speed_set_1,dew_point_temperature_set_1d,peak_wind_direction_set_1
25,4,41.91,223
25,4,39.34,255
32,0,40.46,224
38,0,39.55,224
49,0,42.5,340
52,0,41.27,20
58,0,41.31,220
61,0,41.68,3
66,0,41.84,225
69,0,41.09,233
72,0,41.24,185
75,0,41.34,171
76,0,40.72,223
77,1,43,344
69,1,45.88,165
53,2,44.56,160
31,3,39.64,182
22,3,39.48,211
20,5,38.73,205
18,5.99,36.9,232
19,5.99,39.93,226
21,4,42.5,217
21,4,40.82,232
21,4,38.29,240
20,4,36.22,217
27,4,40.45,219
33,3,43.9,208
41,2,45.13,220
51,0,46.33,333
59,0,47.41,330
64,0,46.74,218
67,0,46.06,228
71,0,45.68,213
73,1,45.46,171
75,0,45.21,165
77,0,43.97,158
81,0,44.34,179
79,0,45.62,23
73,0,47.39,175
52,2,45.92,157
40,1,46.29,139
34,2,46.46,154
25,4,47.05,234
25,5.99,47.91,227
26,7,48.95,221
27,5,50.82,217
32,5,51.91,207
34,5.99,52.66,223
33,4,50.09,204
36,3,49.76,223
44,0,51.56,231
50,0,50.43,331
61,0,52.09,179
65,0,50.97,331
69,1,50.68,218
71,0,50.5,180
75,0,50.05,3
78,0,50.15,167
81,0,50.2,205
82,0,49.55,185
84,0,50.21,230
85,1,50.53,222
79,1,52.44,178
57,3,52.12,155
38,3,49.42,159
32,3,52.79,206
28,4,52.66,223
24,5.99,50.24,223
22,5,49.62,209
23,5,49.95,215
26,5,50.67,231
26,4,49.81,217
28,3,50.06,209
30,3,48.42,220
37,0,49.6,205
46,0,50.02,218
53,1,50.15,223
58,0,49.77,13
62,1,49.69,179
65,0,49.06,182
68,0,48.37,220
71,0,48.57,167
74,0,48.72,227
76,0,48.47,125
79,0,48.55,227
81,1,49.22,223
68,1,49.33,164
48,1,48.41,163
31,2,44.91,175
26,5,47.23,206
26,5,50.67,213
20,4,44.58,228
16,5,40.49,220
15,4,38.04,239
21,5,44.18,221
19,5,39.93,222
19,3,39.1,194
20,2,37.06,211
25,3,38.48,207
30,0,38.8,217
38,0,40.45,223
42,0,40.32,337
47,0,40.49,176
52,1,40.34,173
55,0,40.86,166
58,0,40.37,224
61,0,40.73,14
62,0,40.21,342
63,0,39.68,7
65,0,40.49,180
62,2,42.11,174
39,2,40.22,164
29,5,43.16,212
31,4,44.03,214
29,5,45.78,218
29,3,44.91,226
32,3,45.74,225
47,5.99,52.44,223
53,2,54.8,199
49,5,53.58,223
49,4,53.58,215
54,3,54.39,198
59,5,54.95,233
63,5,54.87,215
65,4,54.78,222
69,3,55.48,228
77,3,55.62,226
75,4,53.93,212
77,3,52.71,217
80,2,53.76,222
85,0,53.48,217
90,0,51.1,221
93,0,51.01,233
95,0,50.6,176
87,2,51.16,168
63,3,50.12,219
56,4,51.64,215
23,5,34.67,218
16,5,27.44,226
20,3,33.72,246
22,5,34.41,234
23,3,32.97,211
22,3,31.87,207
21,3,29.05,237
25,4,30.77,213
29,4,31.84,214
34,2,32.27,214
41,0,32.46,244
47,0,33.14,222
53,0,33.38,333
55,0,33.38,216
61,0,34.11,169
63,0,33.98,231
65,0,33.82,214
68,0,34,232
69,0,33.41,236
